sample_number,Specimen Name,column,variant,treatment
1,plate_1,1,Lib,DMSO
2,plate_1,2,Lib,DMSO
3,plate_1,3,Lib,4u8c
4,plate_1,4,Lib,4u8c
5,plate_1,5,Lib,C7
6,plate_1,6,Lib,C7
7,plate_1,7,Lib,Both
8,plate_1,8,Lib,Both
9,plate_1,9,pKW144,DMSO
10,plate_1,10,pKW144,DMSO
11,plate_1,11,pKW144,4u8c
12,plate_1,12,pKW144,4u8c
13,plate_2,1,pKW144,C7
14,plate_2,2,pKW144,C7
15,plate_2,3,pKW144,Both
16,plate_2,4,pKW144,Both
17,plate_2,5,pKW194,DMSO
18,plate_2,6,pKW194,DMSO
19,plate_2,7,pKW194,4u8c
20,plate_2,8,pKW194,4u8c
21,plate_2,9,pKW194,C7
22,plate_2,10,pKW194,C7
23,plate_2,11,pKW194,Both
24,plate_2,12,pKW194,Both
25,plate_3,1,pKW195,DMSO
26,plate_3,2,pKW195,DMSO
27,plate_3,3,pKW195,4u8c
28,plate_3,4,pKW195,4u8c
29,plate_3,5,pKW195,C7
30,plate_3,6,pKW195,C7
31,plate_3,7,pKW195,Both
32,plate_3,8,pKW195,Both
33,plate_3,9,pKW196,DMSO
34,plate_3,10,pKW196,DMSO
35,plate_3,11,pKW196,4u8c
36,plate_3,12,pKW196,4u8c
37,plate_4,1,pKW196,C7
38,plate_4,2,pKW196,C7
39,plate_4,3,pKW196,Both
40,plate_4,4,pKW196,Both
41,plate_4,5,pKW197,DMSO
42,plate_4,6,pKW197,DMSO
43,plate_4,7,pKW197,4u8c
44,plate_4,8,pKW197,4u8c
45,plate_4,9,pKW197,C7
46,plate_4,10,pKW197,C7
47,plate_4,11,pKW197,Both
48,plate_4,12,pKW197,Both
49,plate_5,1,pKW198,DMSO
50,plate_5,2,pKW198,DMSO
51,plate_5,3,pKW198,4u8c
52,plate_5,4,pKW198,4u8c
53,plate_5,5,pKW198,Both
54,plate_5,6,pKW198,Both
55,plate_5,7,pKW199,DMSO
56,plate_5,8,pKW199,DMSO
57,plate_5,9,pKW199,4u8c
58,plate_5,10,pKW199,4u8c
59,plate_5,11,pKW199,Both
60,plate_5,12,pKW199,Both
61,plate_6,1,pKW200,DMSO
62,plate_6,2,pKW200,DMSO
63,plate_6,3,pKW200,4u8c
64,plate_6,4,pKW200,4u8c
65,plate_6,5,pKW200,Both
66,plate_6,6,pKW200,Both
67,plate_6,7,pKW201,DMSO
68,plate_6,8,pKW201,DMSO
69,plate_6,9,pKW201,4u8c
70,plate_6,10,pKW201,4u8c
71,plate_6,11,pKW201,Both
72,plate_6,12,pKW201,Both
73,plate_7,1,pKW202,DMSO
74,plate_7,2,pKW202,DMSO
75,plate_7,3,pKW202,C7
76,plate_7,4,pKW202,C7
77,plate_7,5,pKW202,Both
78,plate_7,6,pKW202,Both
79,plate_7,7,pKW204,DMSO
80,plate_7,8,pKW204,DMSO
81,plate_7,9,pKW204,C7
82,plate_7,10,pKW204,C7
83,plate_7,11,pKW204,Both
84,plate_7,12,pKW204,Both
85,plate_8,1,pKW205,DMSO
86,plate_8,2,pKW205,DMSO
87,plate_8,3,pKW205,C7
88,plate_8,4,pKW205,C7
89,plate_8,5,pKW205,Both
90,plate_8,6,pKW205,Both